genus_species,number_of_populations,database
Pooecetes_gramineus,1,LPI
Poptella_brevispina,1,LPI
Porichthys_notatus,2,LPI
Porichthys_porosissimus,2,LPI
Poroclinus_rothrocki,2,LPI
Poroderma_africanum,1,LPI
Poroderma_pantherinum,1,LPI
Poromitra_crassiceps,1,LPI
Porphyrio_porphyrio,7,LPI
Porzana_albicollis,1,LPI
Porzana_carolina,1,LPI
Porzana_porzana,3,LPI
Potamochoerus_larvatus,3,LPI
Potamotrygon_motoro,1,LPI
Potos_flavus,1,LPI
Presbytis_femoralis,4,LPI
Priacanthus_macracanthus,1,LPI
Priodontes_maximus,1,LPI
Prionace_glauca,13,LPI
Prionailurus_bengalensis,1,LPI
Prionodon_linsang,1,LPI
Prionotus_carolinus,1,LPI
Prionotus_punctatus,1,LPI
Pristimantis_bicantus,1,LPI
Pristimantis_cerasinus,1,LPI
Pristimantis_cruentus,1,LPI
Pristimantis_eriphus,1,LPI
Pristimantis_fenestratus,2,LPI
Pristimantis_gaigei,1,LPI
Pristimantis_inusitatus,1,LPI
Pristimantis_museosus,1,LPI
Pristimantis_pardalis,1,LPI
Pristimantis_peruvianus,3,LPI
Pristimantis_petersi,1,LPI
Pristimantis_ridens,1,LPI
Pristimantis_toftae,2,LPI
Pristipomoides_argyrogrammicus,1,LPI
Pristipomoides_filamentosus,1,LPI
Pristipomoides_sieboldii,1,LPI
Pristis_pectinata,2,LPI
Procapra_gutturosa,2,LPI
Procapra_picticaudata,1,LPI
Procapra_przewalskii,1,LPI
Procellaria_aequinoctialis,1,LPI
Procellaria_conspicillata,1,LPI
Proceratophrys_bigibbosa,1,LPI
Proceratophrys_mantiqueira,1,LPI
Prochilodus_lineatus,4,LPI
Procyon_cancrivorus,1,LPI
Procyon_lotor,11,LPI
Proechimys_cuvieri,1,LPI
Progne_subis,1,LPI
Progne_tapera,1,LPI
Propithecus_tattersalli,1,LPI
Prosopium_cylindraceum,3,LPI
Prosopium_williamsoni,2,LPI
Protonibea_diacanthus,1,LPI
Protonotaria_citrea,1,LPI
Protopterus_aethiopicus,3,LPI
Prunella_modularis,4,LPI
Psaltriparus_minimus,1,LPI
Psammogobius_biocellatus,1,LPI
Psammogobius_knysnaensis,2,LPI
Psenopsis_anomala,1,LPI
Psettichthys_melanostictus,4,LPI
Pseudacris_crucifer,7,LPI
Pseudacris_maculata,9,LPI
Pseudacris_nigrita,1,LPI
Pseudacris_ocularis,1,LPI
Pseudacris_ornata,2,LPI
Pseudacris_regilla,2,LPI
Pseudacris_triseriata,2,LPI
Pseudantechinus_bilarni,1,LPI
Pseudanthias_bartlettorum,2,LPI
Pseudanthias_pascalus,1,LPI
Pseudauchenipterus_nodosus,1,LPI
Pseudechis_australis,1,LPI
Pseudemydura_umbrina,2,LPI
Pseudemys_nelsoni,1,LPI
Pseudemys_peninsularis,1,LPI
Pseudobathylagus_milleri,1,LPI
Pseudocaranx_dentex,1,LPI
Pseudochaenichthys_georgianus,1,LPI
Pseudocheilinus_hexataenia,1,LPI
Pseudochirops_archeri,1,LPI
Pseudochirulus_herbertensis,1,LPI
Pseudochondrostoma_willkommii,1,LPI
Pseudocoris_ocellata,1,LPI
Pseudocrenilabrus_philander,1,LPI
Pseudocyttus_maculatus,5,LPI
Pseudoeurycea_brunnata,3,LPI
Pseudoeurycea_goebeli,3,LPI
Pseudoeurycea_nigromaculata,1,LPI
Pseudoeurycea_rex,2,LPI
Pseudoeurycea_smithi,1,LPI
Pseudoeurycea_unguidentis,1,LPI
Pseudois_nayaur,1,LPI
Pseudolabrus_eoethinus,1,LPI
Pseudolabrus_rubicundus,2,LPI
Pseudolabrus_sieboldi,1,LPI
Pseudoleistes_guirahuro,1,LPI
Pseudomugil_signifer,1,LPI
Pseudomys_calabyi,1,LPI
Pseudomys_delicatulus,1,LPI
Pseudomys_nanus,1,LPI
Pseudomys_novaehollandiae,6,LPI
Pseudomyxus_capensis,5,LPI
Pseudonaja_nuchalis,1,LPI
Pseudophryne_corroboree,2,LPI
Pseudophryne_pengilleyi,4,LPI
Pseudopleuronectes_americanus,65,LPI
Pseudorasbora_parva,1,LPI
Pseudorca_crassidens,2,LPI
Pseudorhombus_arsius,1,LPI
Pseudorhombus_jenynsii,1,LPI
Pseudotolithus_elongatus,1,LPI
Pseudotropheus_elegans,1,LPI
Pseudotropheus_livingstonii,1,LPI
Pseudupeneus_maculatus,3,LPI
Psilorhamphus_guttatus,1,LPI
Psittacara_leucophthalmus,1,LPI
Psittacula_eques,1,LPI
Psittacula_krameri,1,LPI
Psittacus_erithacus,1,LPI
Psophia_crepitans,1,LPI
Psophia_leucoptera,1,LPI
Psophodes_nigrogularis,1,LPI
Psophodes_olivaceus,3,LPI
Psychrolutes_paradoxus,2,LPI
Psychrolutes_phrictus,1,LPI
Ptereleotris_evides,1,LPI
Ptereleotris_heteroptera,1,LPI
Pterengraulis_atherinoides,1,LPI
Pternistis_ochropectus,1,LPI
Pterocaesio_digramma,2,LPI
Pterocles_namaqua,1,LPI
Pterodoras_granulosus,4,LPI
Pterodroma_cahow,1,LPI
Pterodroma_leucoptera,2,LPI
Pterois_volitans,1,LPI
Pteronura_brasiliensis,3,LPI
Pteroplatytrygon_violacea,5,LPI
Pteropus_conspicillatus,1,LPI
Pteropus_livingstonii,2,LPI
Pteropus_mariannus,1,LPI
Pteropus_poliocephalus,1,LPI
Pteropus_rodricensis,2,LPI
Pteropus_samoensis,1,LPI
Pteropus_tonganus,2,LPI
Pteropus_voeltzkowi,1,LPI
Pterygoplichthys_ambrosettii,4,LPI
Ptilinopus_roseicapilla,3,LPI
Ptilotula_penicillata,1,LPI
Ptychoramphus_aleuticus,3,LPI
Ptyonoprogne_rupestris,1,LPI
Pucrasia_macrolopha,3,LPI
Puffinus_gavia,1,LPI
Puffinus_lherminieri,2,LPI
Puffinus_mauretanicus,6,LPI
Puffinus_puffinus,4,LPI
Puffinus_yelkouan,5,LPI
Pulchrana_signata,3,LPI
Puma_concolor,20,LPI
Pungitius_pungitius,66,LPI
Pusa_hispida,3,LPI
Pycnonotus_barbatus,1,LPI
Pycnonotus_goiavier,1,LPI
Pygochelidon_cyanoleuca,1,LPI
Pygoscelis_adeliae,66,LPI
Pygoscelis_antarcticus,16,LPI
Pygoscelis_papua,45,LPI
Pylodictis_olivaris,3,LPI
Pyriglena_leucoptera,1,LPI
Pyrocephalus_rubinus,1,LPI
Pyrrhocorax_graculus,1,LPI
Pyrrhocorax_pyrrhocorax,1,LPI
Pyrrholaemus_sagittatus,1,LPI
Pyrrhula_pyrrhula,2,LPI
Pyrrhura_frontalis,2,LPI
Python_regius,1,LPI
Pyxicephalus_adspersus,1,LPI
Pyxis_arachnoides,1,LPI
Quiscalus_major,1,LPI
Quiscalus_mexicanus,1,LPI
Quiscalus_niger,1,LPI
Quiscalus_quiscula,1,LPI
Rachycentron_canadum,2,LPI
Radulinus_asprellus,1,LPI
Raja_asterias,2,LPI
Raja_brachyura,2,LPI
Raja_clavata,3,LPI
Raja_microocellata,1,LPI
Raja_miraletus,1,LPI
Raja_montagui,2,LPI
Raja_undulata,1,LPI
Rajella_fyllae,10,LPI
Rallus_aquaticus,7,LPI
Rallus_elegans,1,LPI
Rallus_longirostris,1,LPI
Ramnogaster_arcuata,1,LPI
Ramphastos_toco,2,LPI
Ramphastos_tucanus,2,LPI
Ramphastos_vitellinus,2,LPI
Ramphocelus_carbo,1,LPI
Rana_arvalis,2,LPI
Rana_aurora,3,LPI
Rana_cascadae,1,LPI
Rana_dalmatina,3,LPI
Rana_pretiosa,1,LPI
Rana_sierrae,1,LPI
Rana_tavasensis,1,LPI
Rana_temporaria,8,LPI
Rangifer_tarandus,55,LPI
Ranoidea_aurea,1,LPI
Ranoidea_australis,1,LPI
Ranoidea_dahlii,1,LPI
Ranoidea_genimaculata,1,LPI
Ranoidea_nannotis,1,LPI
Ranoidea_rheocola,1,LPI
Raphicerus_campestris,2,LPI
Rastrineobola_argentea,1,LPI
Rattus_colletti,2,LPI
Rattus_norvegicus,3,LPI
Rattus_rattus,3,LPI
Rattus_tunneyi,1,LPI
Recurvirostra_americana,1,LPI
Recurvirostra_avosetta,16,LPI
Recurvirostra_novaehollandiae,1,LPI
Redigobius_dewaali,1,LPI
Redunca_arundinum,2,LPI
Redunca_fulvorufula,2,LPI
Redunca_redunca,12,LPI
Regulus_calendula,1,LPI
Regulus_ignicapilla,1,LPI
Regulus_regulus,1,LPI
Regulus_satrapa,1,LPI
Reinhardtius_hippoglossoides,21,LPI
Reithrodontomys_megalotis,3,LPI
Remiz_pendulinus,6,LPI
Remora_remora,1,LPI
Rena_dissecta,1,LPI
Rentapia_hosii,3,LPI
Rexea_solandri,2,LPI
Rhabdamia_gracilis,3,LPI
Rhabdomys_dilectus,1,LPI
Rhabdophis_tigrinus,1,LPI
Rhabdosargus_globiceps,1,LPI
Rhabdosargus_holubi,8,LPI
Rhabdosargus_sarba,4,LPI
Rhabdosargus_thorpei,1,LPI
Rhabdotorrhinus_corrugatus,1,LPI
Rhaebo_haematiticus,1,LPI
Rhamphochromis_longiceps,1,LPI
Rhea_americana,2,LPI
Rhegmatorhina_gymnops,2,LPI
Rhincodon_typus,13,LPI
Rhinelepis_aspera,1,LPI
Rhinella_arenarum,3,LPI
Rhinella_dapsilis,1,LPI
Rhinella_henseli,2,LPI
Rhinella_icterica,3,LPI
Rhinella_macrorhina,4,LPI
Rhinella_margaritifera,1,LPI
Rhinella_marina,4,LPI
Rhinella_proboscidea,2,LPI
Rhinichthys_atratulus,6,LPI
Rhinichthys_cataractae,5,LPI
Rhinoceros_sondaicus,3,LPI
Rhinoceros_unicornis,11,LPI
Rhinocheilus_lecontei,1,LPI
Rhinochimaera_atlantica,1,LPI
Rhinochimaera_pacifica,1,LPI
Rhinoclemmys_nasuta,1,LPI
Rhinolophus_ferrumequinum,1,LPI
Rhinolophus_hipposideros,1,LPI
Rhinophrynus_dorsalis,2,LPI
Rhinopithecus_avunculus,5,LPI
Rhinopithecus_brelichi,1,LPI
Rhinoplax_vigil,1,LPI
Rhipidura_fuliginosa,2,LPI
Rhipidura_rufifrons,3,LPI
Rhizoprionodon_terraenovae,2,LPI
Rhodeus_sericeus,1,LPI
Rhodostethia_rosea,2,LPI
Rhomboplites_aurorubens,1,LPI
Rhyacotriton_variegatus,1,LPI
Rhynchocyclus_brevirostris,1,LPI
Rhynchoedura_ornata,1,LPI
Rhynchophanes_mccownii,1,LPI
Rhynchotus_rufescens,1,LPI
Rhyticeros_undulatus,1,LPI
Riparia_riparia,4,LPI
Rissa_brevirostris,1,LPI
Rissa_tridactyla,45,LPI
Roeboides_descalvadensis,4,LPI
Rollandia_rolland,1,LPI
Rollulus_rouloul,1,LPI
Ronquilus_jordani,4,LPI
Rostratula_benghalensis,1,LPI
Rostroraja_eglanteria,1,LPI
Rucervus_duvaucelii,2,LPI
Rucervus_eldii,1,LPI
Rupicapra_pyrenaica,22,LPI
Rupicapra_rupicapra,10,LPI
Rupornis_magnirostris,2,LPI
Rusa_unicolor,6,LPI
Rutilus_aula,1,LPI
Rutilus_basak,1,LPI
Rutilus_rutilus,12,LPI
Rynchops_niger,2,LPI
Saccostomus_campestris,1,LPI
Saccostomus_mearnsi,2,LPI
Sachatamia_albomaculata,1,LPI
Sachatamia_ilex,1,LPI
Sagamichthys_abei,2,LPI
Sagittarius_serpentarius,2,LPI
Saguinus_fuscicollis,2,LPI
Saiga_borealis,1,LPI
Saiga_tatarica,4,LPI
Saimiri_boliviensis,2,LPI
Saimiri_oerstedii,1,LPI
Salamandra_salamandra,2,LPI
Salamandrella_keyserlingii,1,LPI
Salaria_fluviatilis,1,LPI
Salmo_marmoratus,10,LPI
Salmo_salar,69,LPI
Salmo_trutta,75,LPI
Salpinctes_obsoletus,1,LPI
Saltator_fuliginosus,1,LPI
Saltator_similis,1,LPI
Salvelinus_alpinus,7,LPI
Salvelinus_confluentus,29,LPI
Salvelinus_fontinalis,25,LPI
Salvelinus_malma,7,LPI
Salvelinus_namaycush,5,LPI
Sander_lucioperca,5,LPI
Sander_vitreus,19,LPI
Sarcogyps_calvus,6,LPI
Sarcophilus_harrisii,1,LPI
Sardina_pilchardus,9,LPI
Sardinella_albella,1,LPI
Sardinella_aurita,2,LPI
Sardinella_brasiliensis,1,LPI
Sardinella_lemuru,1,LPI
Sardinops_sagax,13,LPI
Sarkidiornis_melanotos,3,LPI
Sarpa_salpa,5,LPI
Satanoperca_jurupari,1,LPI
Satrapa_icterophrys,1,LPI
Saundersilarus_saundersi,1,LPI
Sauromalus_ater,1,LPI
Saxicola_rubetra,1,LPI
Saxicola_torquatus,1,LPI
Sayornis_nigricans,1,LPI
Sayornis_phoebe,1,LPI
Sayornis_saya,1,LPI
Scapanus_orarius,1,LPI
Scaphiopus_holbrookii,3,LPI
Scardinius_erythrophthalmus,8,LPI
Scarthyla_goinorum,1,LPI
Scarus_altipinnis,1,LPI
Scarus_chameleon,2,LPI
Scarus_coelestinus,1,LPI
Scarus_coeruleus,1,LPI
Scarus_dimidiatus,2,LPI
Scarus_dubius,1,LPI
Scarus_flavipectoralis,2,LPI
Scarus_frenatus,1,LPI
Scarus_ghobban,1,LPI
Scarus_globiceps,2,LPI
Scarus_iseri,76,LPI
Scarus_niger,1,LPI
Scarus_psittacus,5,LPI
Scarus_rivulatus,2,LPI
Scarus_rubroviolaceus,4,LPI
Scarus_schlegeli,2,LPI
Scarus_spinus,1,LPI
Scarus_taeniopterus,38,LPI
Scarus_trispinosus,4,LPI
Scarus_vetula,9,LPI
Sceloporus_bicanthalis,1,LPI
Sceloporus_magister,1,LPI
Sceloporus_scalaris,3,LPI
Schiffornis_turdina,1,LPI
Schizodon_borellii,4,LPI
Schroederichthys_chilensis,1,LPI
Sciaena_umbra,5,LPI
Scinax_ictericus,1,LPI
Scinax_pedromedinae,1,LPI
Scinax_staufferi,1,LPI
Sciurus_granatensis,2,LPI
Sciurus_igniventris,1,LPI
Sciurus_spadiceus,1,LPI
Sciurus_variegatoides,1,LPI
Sciurus_vulgaris,10,LPI
Scolopax_rusticola,3,LPI
Scolopsis_vosmeri,1,LPI
Scomber_australasicus,2,LPI
Scomber_japonicus,5,LPI
Scomber_scombrus,15,LPI
Scomberesox_saurus,3,LPI
Scomberoides_commersonnianus,1,LPI
Scomberoides_lysan,2,LPI
Scomberoides_tala,1,LPI
Scomberomorus_cavalla,1,LPI
Scomberomorus_commerson,2,LPI
Scomberomorus_maculatus,2,LPI
Scomberomorus_niphonius,2,LPI
Scomberomorus_semifasciatus,1,LPI
Scophthalmus_aquosus,7,LPI
Scophthalmus_maximus,2,LPI
Scophthalmus_rhombus,1,LPI
Scorpaena_guttata,1,LPI
Scorpaena_maderensis,1,LPI
Scorpaena_scrofa,1,LPI
Scorpaenichthys_marmoratus,4,LPI
Scyliorhinus_canicula,1,LPI
Scyliorhinus_capensis,1,LPI
Scyliorhinus_retifer,1,LPI
Sebastes_aleutianus,6,LPI
Sebastes_alutus,8,LPI
Sebastes_aurora,3,LPI
Sebastes_babcocki,7,LPI
Sebastes_borealis,5,LPI
Sebastes_brevispinis,1,LPI
Sebastes_carnatus,1,LPI
Sebastes_caurinus,5,LPI
Sebastes_chlorostictus,2,LPI
Sebastes_crameri,6,LPI
Sebastes_diploproa,6,LPI
Sebastes_elongatus,7,LPI
Sebastes_emphaeus,4,LPI
Sebastes_entomelas,5,LPI
Sebastes_fasciatus,4,LPI
Sebastes_flavidus,6,LPI
Sebastes_goodei,2,LPI
Sebastes_helvomaculatus,3,LPI
Sebastes_jordani,4,LPI
Sebastes_levis,1,LPI
Sebastes_maliger,5,LPI
Sebastes_melanops,4,LPI
Sebastes_melanostomus,3,LPI
Sebastes_mentella,13,LPI
Sebastes_miniatus,2,LPI
Sebastes_mystinus,1,LPI
Sebastes_nebulosus,3,LPI
Sebastes_nigrocinctus,2,LPI
Sebastes_norvegicus,11,LPI
Sebastes_paucispinis,9,LPI
Sebastes_pinniger,5,LPI
Sebastes_polyspinis,2,LPI
Sebastes_proriger,5,LPI
Sebastes_reedi,5,LPI
Sebastes_ruberrimus,8,LPI
Sebastes_rufus,2,LPI
Sebastes_saxicola,3,LPI
Sebastes_variabilis,3,LPI
Sebastes_variegatus,4,LPI
Sebastes_wilsoni,5,LPI
Sebastes_zacentrus,4,LPI
Sebastolobus_alascanus,7,LPI
Sebastolobus_altivelis,5,LPI
Sechellophryne_gardineri,1,LPI
Sedercypris_erubescens,3,LPI
Seiurus_aurocapilla,2,LPI
Selar_crumenophthalmus,1,LPI
Selaroides_leptolepis,2,LPI
Selasphorus_calliope,1,LPI
Selasphorus_platycercus,1,LPI
Selasphorus_rufus,1,LPI
Selasphorus_sasin,1,LPI
Selene_setapinnis,1,LPI
Selene_vomer,1,LPI
Selenotoca_multifasciata,1,LPI
Semnopithecus_entellus,1,LPI
Semotilus_atromaculatus,6,LPI
Sephanoides_fernandensis,1,LPI
Sephanoides_sephaniodes,1,LPI
Sericornis_frontalis,2,LPI
Sericornis_magnirostra,3,LPI
Serinus_serinus,1,LPI
Seriola_dumerili,4,LPI
Seriola_rivoliana,1,LPI
Seriolella_brama,2,LPI
Seriolella_punctata,1,LPI
Seriphus_politus,1,LPI
Serpophaga_subcristata,1,LPI
Serranus_cabrilla,4,LPI
Serranus_scriba,2,LPI
Serrapinnus_notomelas,2,LPI
Serrasalmus_maculatus,1,LPI
Serrasalmus_marginatus,4,LPI
Serrasalmus_spilopleura,2,LPI
Serrivomer_beanii,9,LPI
Setonix_brachyurus,1,LPI
Setophaga_americana,2,LPI
Setophaga_caerulescens,1,LPI
Setophaga_castanea,1,LPI
Setophaga_cerulea,1,LPI
Setophaga_citrina,2,LPI
Setophaga_coronata,1,LPI
Setophaga_discolor,2,LPI
Setophaga_dominica,1,LPI
Setophaga_fusca,1,LPI
Setophaga_graciae,1,LPI
Setophaga_kirtlandii,1,LPI
Setophaga_magnolia,1,LPI
Setophaga_nigrescens,1,LPI
Setophaga_occidentalis,1,LPI
Setophaga_palmarum,1,LPI
Setophaga_pensylvanica,1,LPI
Setophaga_petechia,1,LPI
Setophaga_pinus,1,LPI
Setophaga_ruticilla,5,LPI
Setophaga_striata,1,LPI
Setophaga_tigrina,1,LPI
Setophaga_townsendi,1,LPI
Setophaga_virens,1,LPI
Sialia_currucoides,1,LPI
Sialia_mexicana,1,LPI
Sialia_sialis,1,LPI
Sibirionetta_formosa,1,LPI
Siganus_doliatus,6,LPI
Siganus_fuscescens,4,LPI
Siganus_lineatus,1,LPI
Sigmops_elongatus,2,LPI
Silhouettea_sibayi,4,LPI
Sillaginodes_punctatus,1,LPI
Sillago_analis,1,LPI
Sillago_flindersi,1,LPI
Sillago_maculata,2,LPI
Sillago_schomburgkii,1,LPI
Sillago_sihama,2,LPI
Silurus_glanis,8,LPI
Silverstoneia_flotator,1,LPI
Simenchelys_parasitica,6,LPI
Siren_intermedia,2,LPI
Sistrurus_catenatus,3,LPI
Sistrurus_miliarius,1,LPI
Sitta_canadensis,1,LPI
Sitta_carolinensis,1,LPI
Sitta_europaea,1,LPI
Sitta_pusilla,1,LPI
Sitta_pygmaea,1,LPI
Sittasomus_griseicapillus,2,LPI
Smilisca_baudinii,2,LPI
Smilisca_phaeota,1,LPI
Sminthopsis_bindi,1,LPI
Sminthopsis_virginiae,1,LPI
Solea_solea,9,LPI
Solea_turbynei,1,LPI
Somateria_fischeri,1,LPI
Somateria_mollissima,40,LPI
Somateria_spectabilis,4,LPI
Somniosus_microcephalus,2,LPI
Somniosus_pacificus,2,LPI
Sonora_occipitalis,1,LPI
Sooglossus_sechellensis,1,LPI
Sooretamys_angouya,1,LPI
Sorex_araneus,6,LPI
Sorex_bendirri,1,LPI
Sorex_caecutiens,2,LPI
Sorex_cinereus,4,LPI
Sorex_daphaenodon,1,LPI
Sorex_isodon,2,LPI
Sorex_minutissimus,2,LPI
Sorex_minutus,3,LPI
Sorex_monticolus,4,LPI
Sorex_roboratus,1,LPI
Sorex_trowbridgii,1,LPI
Sorex_tundrensis,2,LPI
Sorex_vagrans,2,LPI
Sotalia_fluviatilis,1,LPI
Sotalia_guianensis,2,LPI
Sousa_chinensis,4,LPI
Sparisoma_amplum,4,LPI
Sparisoma_atomarium,2,LPI
Sparisoma_aurofrenatum,59,LPI
Sparisoma_axillare,4,LPI
Sparisoma_chrysopterum,2,LPI
Sparisoma_cretense,1,LPI
Sparisoma_radians,2,LPI
Sparisoma_rubripinne,8,LPI
Sparisoma_viride,53,LPI
Sparodon_durbanensis,1,LPI
Sparus_aurata,1,LPI
Spatula_clypeata,19,LPI
Spatula_cyanoptera,1,LPI
Spatula_discors,2,LPI
Spatula_querquedula,13,LPI
Spermophilus_beecheyi,3,LPI
Spermophilus_citellus,1,LPI
Spermophilus_columbianus,1,LPI
Spermophilus_franklinii,2,LPI
Spermophilus_lateralis,2,LPI
Spermophilus_parryii,1,LPI
Spermophilus_tridecemlineatus,1,LPI
Sphecotheres_viridis,3,LPI
Spheniscus_demersus,19,LPI
Spheniscus_humboldti,6,LPI
Spheniscus_magellanicus,6,LPI
Spheniscus_mendiculus,1,LPI
Sphenodon_punctatus,6,LPI
Sphoeroides_maculatus,1,LPI
Sphyraena_barracuda,2,LPI
Sphyraena_borealis,1,LPI
Sphyraena_flavicauda,2,LPI
Sphyrapicus_thyroideus,1,LPI
Sphyrna_lewini,10,LPI
Sphyrna_mokarran,1,LPI
Sphyrna_tiburo,1,LPI
Sphyrna_zygaena,1,LPI
Spicara_maena,2,LPI
Spicara_smaris,1,LPI
Spinus_lawrencei,1,LPI
Spinus_pinus,1,LPI
Spinus_psaltria,1,LPI
Spinus_spinus,1,LPI
Spinus_tristis,1,LPI
Spirinchus_thaleichthys,1,LPI
Spiza_americana,1,LPI
Spizaetus_ornatus,1,LPI
Spizella_atrogularis,1,LPI
Spizella_breweri,1,LPI
Spizella_pallida,1,LPI
Spizella_passerina,1,LPI
Spizella_pusilla,1,LPI
Spondyliosoma_emarginatum,1,LPI
Sporophila_caerulescens,1,LPI
Sporophila_torqueola,1,LPI
Sprattus_fuegensis,1,LPI
Sprattus_sprattus,7,LPI
Squalius_alburnoides,1,LPI
Squalius_cephalus,2,LPI
Squalius_laietanus,2,LPI
Squalius_pyrenaicus,1,LPI
Squalus_acanthias,18,LPI
Squalus_suckleyi,4,LPI
Squatina_guggenheim,2,LPI
Steganopus_tricolor,1,LPI
Stegastes_adustus,1,LPI
Stegastes_altus,1,LPI
Stegastes_fasciolatus,1,LPI
Stegastes_leucostictus,1,LPI
Stegastes_partitus,1,LPI
Stegastes_planifrons,2,LPI
Stegastes_variabilis,1,LPI
Stegonotus_cucullatus,1,LPI
Steindachnerina_insculpta,2,LPI
Stelgidopteryx_ruficollis,1,LPI
Stelgidopteryx_serripennis,1,LPI
Stenella_attenuata,2,LPI
Stenella_coeruleoalba,4,LPI
Stenella_longirostris,3,LPI
Stenobrachius_leucopsarus,3,LPI
Stenobrachius_nannochir,1,LPI
Stenodus_leucichthys,1,LPI
Stenotomus_chrysops,1,LPI
Stercorarius_longicaudus,15,LPI
Stercorarius_parasiticus,18,LPI
Stercorarius_pomarinus,11,LPI
Stereolepis_gigas,1,LPI
Sterna_aurantia,1,LPI
Sterna_dougallii,9,LPI
Sterna_forsteri,1,LPI
Sterna_hirundinacea,1,LPI
Sterna_hirundo,37,LPI
Sterna_paradisaea,24,LPI
Sterna_repressa,1,LPI
Sterna_striata,1,LPI
Sterna_sumatrana,1,LPI
Sterna_trudeaui,1,LPI
Sterna_vittata,1,LPI
Sternopygus_macrurus,1,LPI
Sternotherus_minor,1,LPI
Sternotherus_odoratus,3,LPI
Sternula_albifrons,37,LPI
Sternula_antillarum,3,LPI
Sternula_balaenarum,1,LPI
Sternula_nereis,1,LPI
Sternula_superciliaris,2,LPI
Stethojulis_bandanensis,1,LPI
Stethojulis_terina,4,LPI
Stichaeus_punctatus,1,LPI
Stipiturus_mallee,1,LPI
Stolothrissa_tanganicae,1,LPI
Stomias_boa,7,LPI
Storeria_dekayi,1,LPI
Strabomantis_biporcatus,1,LPI
Strabomantis_bufoniformis,1,LPI
Strangomera_bentincki,1,LPI
Strepera_graculina,1,LPI
Strepera_versicolor,2,LPI
Streptopelia_bitorquata,3,LPI
Streptopelia_decaocto,3,LPI
Streptopelia_turtur,1,LPI
Strix_aluco,1,LPI
Strix_nebulosa,2,LPI
Strix_occidentalis,2,LPI
Strix_uralensis,1,LPI
Strix_varia,1,LPI
Stromateus_brasiliensis,2,LPI
Strongylura_leiura,1,LPI
Strongylura_marina,1,LPI
Struthio_camelus,12,LPI
Sturnella_magna,1,LPI
Sturnella_neglecta,1,LPI
Sturnus_unicolor,2,LPI
Sturnus_vulgaris,7,LPI
Sula_dactylatra,2,LPI
Sula_leucogaster,4,LPI
Sula_nebouxii,1,LPI
Sula_sula,5,LPI
Suncus_murinus,1,LPI
Sundamys_muelleri,1,LPI
Surnia_ulula,1,LPI
Sus_scrofa,18,LPI
Sylvia_atricapilla,3,LPI
Sylvia_borin,3,LPI
Sylvia_cantillans,1,LPI
Sylvia_communis,2,LPI
Sylvia_conspicillata,2,LPI
Sylvia_curruca,2,LPI
Sylvia_hortensis,1,LPI
Sylvia_melanocephala,1,LPI
Sylvia_melanothorax,1,LPI
Sylvia_nisoria,1,LPI
Sylvia_undata,1,LPI
Sylvicapra_grimmia,7,LPI
Sylvilagus_nuttallii,1,LPI
Symphodus_cinereus,1,LPI
Symphodus_doderleini,3,LPI
Symphodus_mediterraneus,2,LPI
Symphodus_melanocercus,2,LPI
Symphodus_ocellatus,3,LPI
Symphodus_roissali,5,LPI
Symphodus_tinca,3,LPI
Symposiachrus_trivirgatus,3,LPI
Synallaxis_frontalis,1,LPI
Synallaxis_ruficapilla,1,LPI
Synallaxis_spixi,1,LPI
Synaphobranchus_kaupii,9,LPI
Synaptomys_borealis,1,LPI
Syncerus_caffer,23,LPI
Synchiropus_agassizii,1,LPI
Syngnathus_folletti,1,LPI
Syngnathus_fuscus,28,LPI
Syngnathus_rostellatus,1,LPI
Syngnathus_temminckii,1,LPI
Syngnathus_watermeyeri,1,LPI
Synthliboramphus_hypoleucus,1,LPI
Synthliboramphus_wumizusume,2,LPI
Syrigma_sibilatrix,2,LPI
Tachybaptus_ruficollis,31,LPI
Tachycineta_bicolor,1,LPI
Tachycineta_leucorrhoa,1,LPI
Tachycineta_thalassina,1,LPI
Tachyglossus_aculeatus,1,LPI
Tachymarptis_melba,1,LPI
Tachyphonus_coronatus,1,LPI
Tactostoma_macropus,1,LPI
Tadorna_ferruginea,6,LPI
Tadorna_tadorna,7,LPI
Tadorna_tadornoides,1,LPI
Taeniamia_fucata,1,LPI
Taeniopygia_bichenovii,2,LPI
Taeniura_lymma,1,LPI
Taeniurops_meyeni,2,LPI
Talismania_bifurcata,1,LPI
Tamandua_mexicana,1,LPI
Tamias_amoenus,3,LPI
Tamias_minimus,2,LPI
Tamias_quadrimaculatus,3,LPI
Tamias_senex,3,LPI
Tamias_striatus,7,LPI
Tamiasciurus_douglasii,3,LPI
Tamiasciurus_hudsonicus,12,LPI
Tangara_cayana,1,LPI
Tangara_sayaca,1,LPI
Tantilla_nigriceps,1,LPI
Tantilla_planiceps,1,LPI
Tapera_naevia,1,LPI
Tapirus_bairdii,4,LPI
Tapirus_indicus,3,LPI
Tapirus_terrestris,4,LPI
Taractichthys_steindachneri,1,LPI
Taricha_granulosa,3,LPI
Tatia_intermedia,1,LPI
Taudactylus_acutirostris,1,LPI
Taurotragus_derbianus,3,LPI
Taurotragus_oryx,16,LPI
Tautoga_onitis,1,LPI
Tautogolabrus_adspersus,9,LPI
Taxidea_taxus,1,LPI
Tayassu_pecari,4,LPI
